Timestamp,clones,unique_cloner,views,unique_viewer
2023-07-01 00:00:00,50,4,37,4
2023-07-02 00:00:00,2,2,5,3
2023-07-03 00:00:00,2,2,14,6
2023-07-04 00:00:00,2,2,14,5
2023-07-05 00:00:00,8,4,29,7
2023-07-06 00:00:00,19,4,25,6
2023-07-07 00:00:00,35,3,75,11
2023-07-08 00:00:00,1,1,5,2
2023-07-08 00:00:00,1,1,5,2
2023-07-10 00:00:00,3,2,1,1
2023-07-11 00:00:00,0,0,23,5
2023-07-12 00:00:00,0,0,28,4
2023-07-13 00:00:00,1,1,43,8
2023-07-14 00:00:00,1,1,12,4
2023-07-14 00:00:00,1,1,12,4
2023-07-14 00:00:00,1,1,12,4
2023-07-17 00:00:00,2,2,72,6
2023-07-18 00:00:00,16,2,72,10
2023-07-19 00:00:00,5,2,89,10
2023-07-20 00:00:00,6,3,15,5
2023-07-21 00:00:00,2,2,8,4
2023-07-22 00:00:00,2,1,1,1
2023-07-23 00:00:00,1,1,1,1
2023-07-24 00:00:00,1,1,2,2
2023-07-25 00:00:00,1,1,20,7
2023-07-26 00:00:00,4,1,36,4
2023-07-27 00:00:00,77,4,94,15
2023-07-28 00:00:00,6,4,6,6
2023-07-29 00:00:00,1,1,1,1
2023-07-30 00:00:00,1,1,2,2
2023-07-31 00:00:00,3,3,44,7
2023-08-01 00:00:00,0,0,29,8
2023-08-02 00:00:00,3,3,54,10
2023-08-03 00:00:00,0,0,5,5
2023-08-04 00:00:00,2,2,20,3
2023-08-05 00:00:00,2,2,4,3
2023-08-06 00:00:00,2,2,1,1
2023-08-07 00:00:00,3,2,14,3
2023-08-08 00:00:00,4,3,85,18
2023-08-09 00:00:00,2,1,26,12
2023-08-10 00:00:00,1,1,56,5
2023-08-11 00:00:00,2,2,65,5
2023-08-12 00:00:00,2,1,20,2
2023-08-12 00:00:00,2,1,20,2
2023-08-14 00:00:00,0,0,49,5
2023-08-15 00:00:00,0,0,9,3
2023-08-16 00:00:00,1,1,52,11
2023-08-17 00:00:00,1,1,25,11
2023-08-18 00:00:00,3,3,9,4
2023-08-19 00:00:00,0,0,5,3
2023-08-20 00:00:00,0,0,1,1
2023-08-21 00:00:00,4,3,10,3
2023-08-22 00:00:00,0,0,5,3
2023-08-23 00:00:00,2,2,24,6
2023-08-24 00:00:00,1,1,57,9
2023-08-25 00:00:00,4,3,20,6
2023-08-26 00:00:00,0,0,1,1
2023-08-27 00:00:00,0,0,19,2
2023-08-28 00:00:00,2,2,22,7
2023-08-29 00:00:00,6,4,30,3
2023-08-30 00:00:00,2,2,5,3
2023-08-31 00:00:00,1,1,53,7
2023-09-01 00:00:00,1,1,10,1
2023-09-01 00:00:00,1,1,10,1
2023-09-03 00:00:00,0,0,2,2
2023-09-03 00:00:00,0,0,2,2
2023-09-05 00:00:00,1,1,26,6
2023-09-06 00:00:00,4,3,35,5
2023-09-07 00:00:00,129,6,99,5
2023-09-08 00:00:00,80,2,123,16
2023-09-09 00:00:00,3,2,4,2
2023-09-10 00:00:00,1,1,1,1
2023-09-11 00:00:00,34,4,62,14
2023-09-12 00:00:00,6,6,15,6
2023-09-13 00:00:00,3,2,79,8
2023-09-14 00:00:00,46,7,61,9
2023-09-15 00:00:00,5,5,20,9
2023-09-16 00:00:00,2,2,7,1
2023-09-17 00:00:00,2,2,4,2
2023-09-18 00:00:00,2,1,16,6
2023-09-18 00:00:00,2,1,16,6
2023-09-20 00:00:00,2,1,153,3
2023-09-21 00:00:00,1,1,67,6
2023-09-22 00:00:00,18,3,145,8
2023-09-23 00:00:00,29,1,25,6
2023-09-24 00:00:00,0,0,2,2
2023-09-25 00:00:00,40,7,123,10
2023-09-26 00:00:00,133,4,563,12
2023-09-27 00:00:00,159,6,242,9
2023-09-28 00:00:00,48,5,108,12
2023-09-29 00:00:00,26,8,201,32
2023-09-30 00:00:00,0,0,2,2
2023-10-01 00:00:00,2,2,5,3
2023-10-02 00:00:00,2,2,4,2
2023-10-03 00:00:00,0,0,23,8
2023-10-04 00:00:00,0,0,22,6
2023-10-05 00:00:00,44,1,150,10
2023-10-06 00:00:00,160,6,121,6
2023-10-06 00:00:00,160,6,121,6
2023-10-08 00:00:00,2,2,5,3
